学校名称,所属区,学校层次,25年到区,25年到区加权均分,25年到校,25年到校加权均分,25年统一,25年统一加权均分,25年三批次加权均分,25VS24加权均分,25生源质量位次,24生源质量位次
复旦附中,全市,四校,255,710.18,62,699.01,17,706.82,707.94,3.33,1,2
上海中学,全市,四校,286,707.32,72,696.83,27,708.72,705.46,-3.25,2,
交大附中,全市,四校,319,706.95,79,697.59,16,706.72,705.15,2.95,3,3
华师二附,全市,四校,280,705.04,66,702.89,16,706.63,704.72,5.20,4,S
复附徐汇,徐汇区,四分,31,708.13,73,701.14,40,702.50,703.02,3.04,5,4
华二普陀,普陀区,四分,30,702.27,71,699.04,38,701.50,700.41,2.50,6,6
华二松江,松江区,四分,33,695.65,76,700.04,37,702.00,699.54,3.13,7,7
七宝中学,闵行区,八校,120,701.98,280,695.98,118,699.00,698.06,3.15,8,8
交附闵行,闵行区,四分,69,702.98,160,696.17,85,697.00,697.89,-4.15,9,9
华二紫竹,闵行区,四分,69,700.89,160,692.90,73,695.00,695.23,-6.00,10,18
华二宝山,宝山区,四分,49,699.82,115,691.97,63,696.00,694.78,-1.23,11,11
复附浦东,浦东新区,四分,56,697.25,131,688.66,69,703.50,694.54,-4.26,12,13
南洋模范,徐汇区,八校,90,699.16,209,691.71,100,695.50,694.34,0.62,13,10
复附青浦,青浦区,四分,49,701.03,115,690.67,52,689.50,692.74,-2.48,14,14
实验学校,全市,委属市重,52,690.50,13,688.59,10,703.00,691.84,-4.49,15,20
建平中学,浦东新区,八校,109,688.39,255,689.06,121,699.50,691.51,0.07,16,12
曹杨二中,普陀区,新五虎,82,695.40,192,688.39,97,692.00,690.88,-3.30,17,19
交附嘉定,嘉定区,四分,105,700.80,246,687.52,115,689.00,690.88,1.29,18,15
松江二中,松江区,新五虎,82,688.13,191,689.53,93,692.00,689.85,-0.46,19,17
控江中学,杨浦区,八校,100,689.38,235,688.86,117,690.00,689.27,-2.92,20,22
曹二东校,普陀区,公办普高,,,,,30,689.00,689.00,,21,
进才中学,浦东新区,新五虎,109,688.80,255,684.07,123,696.50,688.27,-2.91,22,23
位育中学,徐汇区,新五虎,89,690.29,207,682.63,105,689.00,686.00,2.49,23,24
格致中学,黄浦区,八校,126,691.21,131,681.55,62,680.50,685.16,2.20,24,26
延安中学,长宁区,八校,72,692.72,169,682.06,72,682.50,684.61,1.42,25,25
大同中学,黄浦区,八校,136,685.10,131,682.84,55,682.00,683.65,-1.06,26,27
复旦复兴,虹口区,八校,76,688.29,178,682.50,85,680.00,683.17,-0.90,27,28
上师闵行,闵行区,普通市重,86,679.29,200,679.77,100,691.50,682.70,-2.86,28,32
位育科技,徐汇区,公办区重,,,,,80,682.50,682.50,,29,
上中东校,浦东新区,普通市重,94,685.37,218,676.37,112,692.00,682.49,-5.74,30,37
松江云间,松江区,普通市重,82,681.55,191,680.62,98,684.00,681.72,-3.17,31,34
市二梅陇,徐汇区,普通市重,53,677.83,74,676.04,111,686.53,681.33,0.16,32,29
上师附中,全市,委属市重,187,679.80,47,674.09,41,694.76,681.05,0.12,34,30
上外闵外,闵行区,公办区重,,,,,251,679.50,679.50,-6.50,35,42
行知中学,宝山区,普通市重,101,674.19,237,677.93,120,683.50,678.57,-0.08,36,33
建平筠溪,浦东新区,公办普高,,,,,240,678.50,678.50,-11.00,37,16
奉贤中学,奉贤区,新五虎,87,684.76,202,673.62,100,679.50,677.62,-0.16,38,35
晋元中学,普陀区,普通市重,84,675.73,196,673.57,101,684.00,676.81,0.38,39,38
杨浦高级,杨浦区,普通市重,100,674.03,235,672.85,120,683.50,675.92,2.40,40,40
上师松江,松江区,普通市重,18,671.08,41,673.02,22,684.00,675.57,-2.53,41,
洋泾中学,浦东新区,普通市重,109,665.21,255,671.78,131,689.50,675.02,,42,46
嘉定一中,嘉定区,普通市重,87,675.47,206,671.01,98,677.00,673.50,-0.63,43,43
上师宝山,宝山区,普通市重,34,670.62,80,669.71,45,681.00,673.10,-0.34,44,44
川沙中学,浦东新区,普通市重,94,667.24,218,668.82,110,686.50,673.08,7.03,45,59
东昌中学,浦东新区,公办特高,,,,,470,673.00,673.00,5.00,46,53
上师嘉分,嘉定区,普通市重,35,667.96,82,671.01,45,679.00,672.57,,47,
闵行中学,闵行区,普通市重,120,659.32,280,669.20,134,685.50,671.07,-3.39,48,39
宝山世外,宝山区,民办普高,,,,,50,670.93,670.93,3.63,49,55
向明浦江,黄浦区,普通市重,38,667.18,89,662.97,48,686.81,670.42,-0.84,50,47
华二临港,奉贤区,四分,43,682.95,101,663.52,52,673.00,670.30,-2.19,51,45
金山中学,金山区,普通市重,78,670.96,182,669.73,96,670.00,670.07,-0.06,52,49
进才森兰,浦东新区,公办普高,,,,,240,670.00,670.00,-16.50,53,21
